GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
transparencia-sjc-back,org.sjc.transparencia,Dao,0,14,0,2,0,5,0,3,0,2
transparencia-sjc-back,org.sjc.transparencia,Main,31,0,2,0,8,0,5,0,4,0
